BMV,1,d,Low fused-voltage alarm,276,uint16,1,0,0
BMV,1,d,High fused-voltage alarm,277,uint16,1,0,0
BMV,1,d,Fuse blown alarm,278,uint16,1,0,0
BMV,1,d,High internal-temperature alarm,279,uint16,1,0,0
BMV,1,d,Relay status,280,uint16,1,0,0
BMV,1,d,Deepest discharge,281,uint16,-10,0,0
BMV,1,d,Last discharge,282,uint16,-10,0,0
BMV,1,d,Average discharge,283,uint16,-10,0,0
BMV,1,d,Charge cycles,284,uint16,1,0,0
BMV,1,d,Full discharges,285,uint16,1,0,0
BMV,1,c,Total Ah drawn,286,uint16,-10,0,0
BMV,1,d,Minimum voltage,287,uint16,100,0,0
BMV,1,d,Maximum voltage,288,uint16,100,0,0
BMV,1,d,Time since last full charge,289,uint16,0.01,0,0
BMV,1,d,Automatic syncs,290,uint16,1,0,0
BMV,1,d,Low voltage alarms,291,uint16,1,0,0
BMV,1,d,High voltage alarms,292,uint16,1,0,0
BMV,1,d,Low fused-voltage alarms,297,uint16,1,0,0
BMV,1,d,High fused-voltage alarms,298,uint16,1,0,0
BMV,1,d,Minimum fused voltage,299,uint16,100,0,0
BMV,1,d,Maximum fused voltage,300,uint16,100,0,0
BMV,1,c,Discharged Energy,301,uint16,10,0,0.2
BMV,1,c,Charged Energy,302,uint16,10,0,0.2
BMV,1,c,Time to go,303,uint16,0.01,0,0
BMV,1,d,State of health,304,uint16,10,0,0
MPPT,1,c,Battery voltage,771,uint16,100,0,0.2
MPPT,1,c,Battery current,772,int16,10,0,5
MPPT,1,c,Battery temperature,773,int16,10,0,0.2
MPPT,1,d,Charger on/off,774,int16,1,1,5
MPPT,1,c,Charge state,775,uint16,1,0,0.5
MPPT,1,c,PV voltage,776,uint16,100,0,0.2
MPPT,1,c,PV current,777,int16,10,0,5
MPPT,1,d,Equalization pending,778,uint16,1,0,0
MPPT,1,d,Equalization time remaining,779,uint16,10,0,0
MPPT,1,d,Relay on the charger,780,uint16,1,0,0
MPPT,1,d,Alarm Summary ,781,uint16,1,0,0.2
MPPT,1,d,Low batt. voltage alarm,782,uint16,1,0,0
MPPT,1,d,High batt. voltage alarm,783,uint16,1,0,0
MPPT,1,c,Yield today,784,uint16,10,0,0.1
MPPT,1,c,Maximum charge power today,785,uint16,1,0,0.1
MPPT,1,d,Yield yesterday,786,uint16,10,0,0.1
MPPT,1,d,Maximum charge power yesterday,787,uint16,1,0,0.1
MPPT,1,d,Error code,788,uint16,1,0,0.1
MPPT,1,c,Power Yield,789,uint16,10,0,0.1
MPPT,1,c,User yield,790,uint16,10,0,0.1
